A,B
2,56
7,14
10,50
5,23
10,95
10,89
8,71
10,56
2,71
9,84
6,68
7,9
4,66
8,41
4,45
7,59
10,9
2,28
10,52
1,79
6,84
7,67
6,58
2,93
5,32
7,93
4,15
10,67
9,21
6,56
9,81
3,56
5,93
5,85
7,6
6,26
1,17
5,90
6,37
6,78
7,78
10,42
7,75
1,69
7,3
4,23
8,56
8,89
3,83
3,62
3,77
10,46
4,62
2,24
9,77
8,87
9,87
6,93
3,47
8,68
4,24
5,49
3,88
8,32
2,25
2,89
8,43
1,27
5,59
8,34
8,44
2,59
3,70
9,80
4,97
2,57
9,51
9,38
4,1
3,47
6,22
10,32
3,92
2,90
3,45
3,58
8,72
10,12
4,44
6,80
9,79
10,19
2,79
6,12
4,60
1,10
6,88
7,92
1,38
3,88
4,46
5,23
9,37
9,11
1,68
6,24
1,54
1,27
3,88
3,16
3,29
5,69
2,96
6,54
8,68
1,6
1,5
9,49
4,71
10,90
5,6
3,81
7,7
7,79
9,74
8,40
1,37
1,41
8,66
2,26
8,27
9,75
10,70
9,30
2,95
10,92
4,85
1,12
7,4
5,7
5,71
9,2
7,67
7,32
7,82
7,18
9,49
6,29
3,44
5,64
4,2
2,9
3,77
4,38
2,66
7,38
9,77
1,18
10,2
6,44
7,62
8,58
1,14
10,44
8,60
6,99
1,32
4,20
10,56
1,44
7,66
5,42
2,81
5,78
1,27
4,23
9,66
8,73
6,40
6,5
4,92
3,84
2,74
8,11
1,76
2,48
5,30
5,52
4,74
10,1
6,8
2,91
5,70
5,7
4,29
8,40
9,21
3,39
10,7
5,43
