A,B
4,99
2,43
4,99
9,87
3,33
4,50
1,93
3,43
7,91
6,54
2,86
8,19
1,7
3,94
3,97
10,6
2,88
3,51
5,1
7,95
5,41
10,67
5,74
10,16
10,79
10,17
4,67
1,69
8,61
10,8
4,86
2,39
1,70
8,63
2,22
9,29
4,5
3,77
10,46
3,43
9,85
1,11
7,52
9,87
4,5
2,87
5,37
8,54
2,82
7,88
1,100
6,5
6,47
6,8
2,26
6,80
4,52
6,47
9,88
6,71
10,68
5,16
4,33
1,65
9,41
9,35
4,81
2,82
7,95
5,9
10,17
6,55
4,67
10,28
8,83
6,94
3,75
8,37
2,18
3,48
4,37
4,82
7,42
9,81
7,51
6,84
10,60
3,71
9,56
2,37
9,74
10,53
7,14
9,12
1,3
8,41
10,1
6,4
5,39
7,66
3,12
7,69
10,5
7,95
1,18
8,103
6,67
5,88
7,26
1,13
8,10
10,64
6,85
1,10
3,41
1,48
9,46
9,33
10,45
3,13
9,80
2,50
7,12
2,75
6,15
5,39
8,80
5,89
8,50
5,49
6,30
9,54
1,83
2,44
7,40
2,86
7,40
1,1
4,11
2,3
6,21
5,56
7,79
6,78
2,37
7,57
7,58
6,22
9,18
2,6
9,41
8,12
9,53
3,58
1,57
2,32
10,1
3,17
4,55
3,86
4,15
6,12
8,79
5,62
5,7
6,78
4,26
8,28
4,32
3,39
1,26
8,21
1,34
8,69
1,95
7,16
1,99
3,48
5,97
10,51
3,83
5,40
5,70
5,41
3,18
9,5
4,95
7,89
8,51
2,15
10,58
5,52
8,32
1,44
4,94
8,86
8,67
10,38
5,12
9,16
