A,B
2,837
10,12
7,833
5,59
4,163
5,186
7,588
9,674
1,326
2,612
5,283
5,854
4,511
8,474
1,777
8,263
2,103
1,478
8,665
1,602
9,186
2,46
10,132
7,785
1,341
4,701
2,634
10,361
6,333
9,85
10,505
8,896
10,705
6,436
1,379
10,38
4,920
3,888
7,113
5,249
1,637
4,760
2,7
3,277
5,262
9,741
4,300
2,899
2,816
10,260
7,452
8,468
9,307
10,836
4,386
8,151
5,146
8,771
6,650
8,339
6,98
5,103
9,873
7,805
1,673
10,721
2,860
9,1004
7,169
10,409
7,336
7,303
10,653
3,72
6,73
5,820
1,503
8,425
5,395
5,974
8,320
4,589
3,352
8,595
6,380
4,795
6,609
10,966
2,518
7,1290
9,961
7,170
2,316
4,99
3,637
6,570
5,666
4,430
3,605
8,286
8,952
10,67
5,794
2,737
4,121
3,593
7,432
10,713
7,661
9,912
9,253
1,734
2,624
4,492
6,119
6,733
1,56
6,429
5,817
7,25
4,982
6,779
10,975
3,633
7,883
1,51
8,75
1,88
9,620
2,403
3,340
5,282
10,40
3,873
1,18
6,323
6,391
1,770
4,290
1,525
6,140
3,360
3,813
5,699
8,38
9,710
10,316
8,879
8,898
3,421
10,262
3,28
10,739
9,687
6,157
1,635
1,277
8,524
2,467
9,880
2,296
3,199
5,671
6,53
10,347
2,737
2,175
4,872
2,574
5,189
6,87
7,846
9,1023
3,202
5,718
4,193
4,363
1,503
9,841
9,583
3,601
5,544
7,1269
8,182
9,553
4,359
9,490
8,37
7,671
6,119
3,904
1,276
3,436
4,867
2,169
9,104
7,742
6,256
3,520
7,287
