A,B
7,235
5,178
9,287
9,146
3,112
9,407
3,336
2,243
8,442
3,449
8,574
2,122
3,274
9,34
10,436
7,12
3,222
2,266
4,502
3,355
1,503
2,451
5,417
2,462
9,240
7,407
4,238
7,145
6,46
5,163
9,410
1,138
4,358
5,573
8,372
1,191
1,267
4,443
1,269
8,376
5,301
6,173
10,382
10,17
4,322
3,13
2,148
8,472
4,413
5,290
1,81
7,67
6,32
1,373
5,467
4,49
10,466
6,220
3,375
10,3
4,154
5,133
10,340
7,512
6,170
6,338
10,273
5,232
7,134
6,27
10,4
1,176
8,217
6,201
8,567
9,266
3,85
9,14
7,357
1,515
8,74
2,469
7,462
6,197
4,555
10,368
2,129
4,471
8,359
9,281
6,188
1,367
3,411
2,126
10,419
9,363
5,192
2,596
7,420
8,211
