dataset,num_rows,num_groups,violation_percentage,index,my_time,my_rows_removed,external_time,external_rows_removed
dataset_max_g20_r500_v10_1.csv,500,20,10,1,2.4946107864379883,227,109.54526996612549,12
dataset_max_g20_r500_v10_0.csv,500,20,10,0,2.557678699493408,253,114.8619077205658,12
dataset_max_g15_r500_v10_2.csv,500,15,10,2,2.184260129928589,331,174.44518327713013,12
dataset_max_g15_r500_v10_1.csv,500,15,10,1,2.1844263076782227,169,191.14925694465637,12
dataset_max_g15_r500_v10_0.csv,500,15,10,0,2.151585340499878,299,196.88608646392822,12
dataset_max_g25_r500_v10_0.csv,500,25,10,0,3.692335844039917,364,92.90246534347534,12
dataset_max_g20_r500_v10_2.csv,500,20,10,2,2.8822197914123535,251,127.08747243881226,12
dataset_max_g25_r500_v10_1.csv,500,25,10,1,3.5411925315856934,304,94.82090425491333,12
dataset_max_g25_r500_v10_2.csv,500,25,10,2,9.214459657669067,262,87.41256666183472,12
dataset_max_g10_r500_v10_1.csv,500,10,10,1,1.9497101306915283,151,334.09975957870483,34
dataset_max_g10_r500_v10_2.csv,500,10,10,2,2.008647918701172,152,346.9982898235321,14
dataset_max_g10_r500_v10_0.csv,500,10,10,0,2.104483127593994,56,346.98633003234863,48
dataset_max_g5_r500_v10_0.csv,500,5,10,0,2.984633684158325,200,477.16924834251404,10
dataset_max_g5_r500_v10_1.csv,500,5,10,1,1.9977202415466309,100,482.6922092437744,9
dataset_max_g5_r500_v10_2.csv,500,5,10,2,2.5535972118377686,200,494.41689562797546,5
