A,B
7,2
1,12
6,36
9,50
4,12
2,89
6,48
5,13
4,79
7,31
1,55
7,54
3,13
2,49
7,96
10,9
6,73
6,88
10,45
1,37
10,67
9,31
8,87
8,48
1,67
2,14
8,23
5,54
8,54
10,90
5,6
7,12
2,73
4,7
3,75
9,70
1,14
7,36
5,14
10,91
2,32
2,66
1,24
5,21
2,68
3,30
10,86
4,55
6,39
10,37
1,70
1,42
8,59
4,26
5,55
5,73
10,28
8,62
6,58
5,9
1,26
8,70
1,19
3,28
1,88
4,79
3,5
10,58
1,12
8,73
8,65
6,68
8,53
8,50
8,1
8,44
9,6
10,85
6,36
4,14
4,30
2,5
7,82
1,5
6,6
9,30
3,77
9,73
4,57
5,4
6,30
5,2
2,74
8,13
3,81
4,19
4,53
10,46
3,2
3,44
9,69
3,23
4,17
7,10
1,89
2,68
2,32
7,10
3,79
9,15
2,7
1,9
5,55
7,2
7,16
10,2
8,59
2,13
7,62
3,67
6,43
5,35
10,60
9,97
4,75
9,55
6,5
1,65
9,58
5,27
7,40
3,44
3,42
2,91
1,42
2,68
8,82
7,88
5,42
4,55
6,59
3,54
1,1
6,7
5,65
10,18
9,30
1,21
6,85
4,10
10,31
2,36
3,46
5,41
3,39
10,31
3,57
8,92
9,76
2,12
7,30
8,44
2,68
9,10
6,50
3,36
9,43
6,25
7,45
5,10
4,5
4,10
9,41
9,67
3,17
4,83
2,92
5,26
8,83
10,65
4,41
8,61
9,49
6,83
7,6
7,18
2,3
9,40
1,56
6,58
4,26
7,49
5,58
6,42
10,46
10,84
9,67
5,74
7,68
10,8
