A,B
2,142
6,302
4,386
1,153
3,93
10,53
7,290
4,299
2,213
9,363
2,354
6,121
10,245
5,237
7,304
10,110
8,160
10,371
3,47
6,157
3,477
8,636
6,363
3,250
1,148
9,85
3,198
9,325
5,422
1,160
8,384
4,254
5,366
9,374
8,216
7,515
4,67
9,517
8,624
2,143
1,301
8,468
4,173
9,282
10,266
1,527
1,305
10,154
5,105
3,67
6,310
8,577
4,247
7,344
5,534
4,297
8,329
5,37
2,188
4,41
10,13
1,319
9,203
9,151
5,185
6,328
7,70
10,63
3,264
3,296
10,351
5,127
3,132
7,661
2,7
5,435
2,6
2,386
7,448
7,154
6,252
2,108
5,519
6,267
1,121
6,187
8,453
7,159
8,252
6,456
4,283
1,364
2,363
9,529
3,428
4,207
1,58
10,363
7,144
9,550
