A,B
1,40
2,1
4,13
5,43
1,41
5,80
2,91
3,92
2,1
3,82
5,84
2,15
5,5
1,8
4,10
2,51
1,75
5,86
5,73
3,42
2,61
3,61
1,6
2,36
5,77
5,24
1,74
3,63
2,7
3,85
3,37
1,64
2,9
2,7
1,21
1,83
3,17
5,49
5,60
2,64
3,90
5,48
5,34
5,63
4,15
3,54
1,15
5,17
4,45
5,30
5,4
4,55
1,99
3,5
3,57
4,61
5,96
4,26
2,2
4,65
3,31
2,41
2,35
2,39
5,29
4,97
5,45
1,84
2,68
1,50
3,1
2,59
1,67
2,56
3,21
1,85
2,74
3,78
5,69
3,101
5,88
4,96
4,89
3,27
1,26
1,28
1,73
2,14
2,63
3,91
2,14
5,47
3,104
1,77
3,94
1,65
2,51
3,23
2,55
4,93
3,87
1,93
4,55
2,58
2,40
5,53
1,76
2,63
2,45
4,45
1,48
5,35
3,1
4,29
5,1
2,73
1,4
2,17
2,84
3,5
2,3
2,45
5,8
5,29
3,74
3,69
2,31
1,47
2,59
4,8
4,58
5,40
2,60
1,78
3,1
4,93
5,23
5,29
5,50
5,72
4,9
1,28
1,91
3,41
1,47
3,26
3,48
4,13
5,1
1,92
4,1
3,67
1,63
2,18
1,40
4,8
1,33
4,96
2,34
5,94
3,41
2,1
4,97
5,20
1,44
2,88
2,4
2,80
5,20
1,8
3,63
3,104
2,87
4,69
3,16
1,14
2,6
2,7
2,23
2,1
3,84
5,21
1,45
2,76
4,58
5,20
2,43
2,21
2,31
4,76
4,14
5,46
2,59
1,69
4,95
4,10
5,93
4,90
3,79
1,79
1,97
1,80
2,96
2,74
4,6
1,63
4,98
5,35
1,29
1,76
4,1
4,51
3,20
1,46
5,12
1,6
3,77
3,73
1,40
5,95
5,32
5,25
4,58
1,90
2,12
4,45
1,84
1,85
3,51
4,24
5,5
2,39
3,76
2,66
4,66
3,41
2,2
4,26
1,40
4,45
3,16
4,21
1,3
3,103
2,67
1,10
1,68
5,7
1,5
1,69
4,50
1,10
3,35
2,38
5,75
4,64
5,45
5,15
1,99
2,38
3,62
2,67
4,66
2,69
1,81
5,29
4,26
3,25
4,34
5,96
4,84
3,61
3,13
5,45
5,79
3,59
4,56
5,49
2,53
3,12
4,27
4,48
1,88
3,92
2,43
3,68
4,15
2,1
1,5
4,22
1,66
3,7
1,64
4,68
4,25
2,19
4,93
5,68
2,65
3,75
2,51
1,24
4,3
1,39
5,49
2,16
3,69
3,102
1,62
1,19
4,74
5,45
4,100
1,50
2,53
1,6
1,70
3,70
4,46
5,49
4,96
4,37
3,93
3,99
3,80
2,39
2,87
5,66
4,77
2,88
1,47
4,46
4,21
3,103
1,90
2,64
1,74
4,66
1,88
4,27
5,60
1,22
4,73
5,74
3,82
2,24
4,84
3,66
2,6
5,71
3,31
2,70
1,45
3,10
3,64
3,5
5,12
2,60
4,82
3,45
5,46
5,36
2,82
5,86
2,12
4,95
4,68
2,3
5,62
5,96
4,20
2,5
5,81
5,55
4,54
2,81
4,95
5,59
2,9
1,7
5,17
4,33
5,72
3,84
5,17
1,37
3,70
4,79
5,3
4,32
5,82
4,87
1,55
5,63
4,61
4,51
3,27
5,73
2,43
1,41
4,66
5,43
2,92
1,92
1,75
2,24
3,13
5,9
2,4
3,85
5,32
3,82
3,32
1,24
1,88
1,49
3,71
4,32
3,12
1,74
1,87
1,19
5,23
5,15
5,68
5,59
5,97
2,56
3,104
4,86
2,92
3,67
5,33
3,97
5,81
3,77
4,48
5,28
4,28
1,48
4,43
5,27
3,75
4,28
3,51
1,21
3,16
5,67
1,12
3,55
5,18
3,27
1,30
3,11
4,69
4,71
4,98
4,16
4,73
1,89
3,49
2,52
4,25
3,5
1,63
2,33
5,74
5,11
5,58
3,70
5,19
3,44
3,50
1,4
3,72
4,87
1,51
2,9
1,80
1,61
3,4
2,71
4,24
4,66
4,39
4,98
3,36
2,37
5,16
1,98
4,27
3,53
1,53
5,89
2,48
2,32
2,26
3,51
2,3
5,19
