A,B
5,75
7,83
6,28
9,29
5,44
5,6
9,58
9,97
7,92
10,22
7,77
1,17
1,20
4,38
8,37
9,3
2,76
6,72
10,8
1,2
4,7
7,44
5,45
1,52
7,59
10,60
7,64
10,27
5,60
5,40
8,56
7,10
10,46
3,11
2,28
4,35
8,57
10,90
5,6
4,11
1,13
2,65
3,9
8,10
8,72
3,70
1,94
10,50
1,42
8,23
8,53
10,53
9,41
5,71
2,81
2,89
1,76
6,74
3,47
3,30
9,8
7,97
2,81
3,62
8,11
6,93
7,39
7,76
2,45
10,82
5,32
4,14
6,46
2,80
10,63
1,8
6,63
6,49
2,28
4,32
2,46
9,63
6,45
9,59
8,10
9,12
10,12
8,70
2,39
8,72
8,67
9,38
5,77
8,35
7,8
4,17
9,80
2,9
10,41
1,12
2,32
8,81
3,9
1,15
9,79
9,62
9,71
3,2
2,75
3,23
6,71
10,32
3,9
4,50
8,47
5,95
9,64
6,52
6,4
1,3
4,53
1,12
3,33
8,27
10,95
4,79
10,46
4,78
2,81
6,51
3,26
1,54
2,20
7,24
5,83
10,40
6,91
9,45
4,50
7,41
3,9
6,29
5,49
3,77
5,92
5,6
7,91
1,46
3,57
2,10
8,71
10,93
8,60
5,72
5,94
9,71
5,34
10,1
6,27
6,42
2,70
3,20
9,79
8,80
4,90
6,90
4,52
8,12
10,38
5,58
6,37
3,39
4,63
1,25
3,47
1,25
7,33
7,17
4,39
6,92
6,83
3,19
1,68
4,57
7,47
2,20
5,25
10,83
3,46
1,49
9,34
4,16
4,53
4,90
9,69
7,73
1,94
7,97
2,11
7,29
