A,B
10,57
9,27
1,18
2,36
1,8
1,74
5,83
6,41
8,46
3,63
4,91
8,71
6,35
3,68
1,81
7,56
3,34
7,75
8,89
3,70
9,18
5,42
9,64
4,92
5,66
8,15
1,79
8,21
6,79
6,38
7,59
2,1
7,35
7,84
8,1
8,82
2,54
6,52
4,25
6,50
3,67
6,51
9,67
5,7
10,99
1,53
4,39
1,49
2,37
10,36
10,25
5,86
9,81
7,69
7,5
9,32
10,51
4,58
9,6
3,58
2,47
7,49
3,6
2,15
10,87
7,47
8,58
7,51
4,17
5,76
1,40
7,32
2,58
7,2
10,26
4,46
5,68
5,13
5,71
8,37
4,1
3,78
9,10
8,2
2,38
9,71
10,97
3,88
9,18
4,70
5,90
10,21
9,68
7,4
5,11
3,4
9,71
3,91
10,61
8,62
3,35
6,9
2,40
8,95
5,13
5,51
10,19
6,24
4,67
3,53
6,76
8,33
6,5
2,87
1,56
4,92
4,4
3,99
10,95
7,90
7,46
4,33
3,8
2,84
3,54
3,35
5,16
10,2
1,56
2,68
5,93
5,9
10,78
9,5
7,94
1,85
9,34
10,59
9,44
10,37
6,4
10,38
3,86
5,23
5,89
3,1
3,76
8,21
2,82
2,79
7,1
4,90
6,28
1,15
7,58
1,64
2,56
8,68
9,21
8,28
4,11
8,36
9,58
4,28
1,55
10,73
4,94
1,76
6,5
3,82
6,60
3,49
3,57
7,28
2,7
6,1
5,20
7,83
6,3
1,94
3,48
1,12
10,22
6,65
6,58
10,6
8,25
10,66
8,45
9,8
7,6
5,92
4,21
7,40
6,61
3,50
5,66
6,48
8,1
10,96
8,63
2,51
2,91
6,6
4,70
6,70
4,47
4,59
1,52
7,6
6,22
4,43
9,25
4,61
3,24
5,38
2,7
6,22
6,93
3,1
9,99
4,26
3,66
8,44
2,11
10,35
8,49
3,14
5,45
4,23
10,74
8,80
6,28
7,91
3,64
7,95
4,10
1,29
6,37
2,90
8,31
8,5
5,22
10,97
4,78
1,76
9,80
3,61
7,34
9,37
9,77
1,65
3,27
9,14
7,7
9,32
4,4
1,17
9,97
1,34
5,75
1,39
5,58
1,3
2,73
5,58
9,24
4,40
3,28
10,52
7,96
8,87
8,33
8,17
10,51
6,90
6,75
7,90
10,38
10,15
4,16
2,5
8,93
4,28
7,59
9,67
5,56
6,61
2,55
9,76
5,43
1,69
5,46
6,31
1,52
4,15
5,88
6,60
6,91
8,88
10,25
3,49
8,57
4,75
10,58
10,35
1,63
8,93
9,46
3,91
8,43
9,55
10,42
1,78
4,38
3,90
10,35
1,14
8,87
7,10
2,10
10,53
6,15
1,25
2,96
5,10
7,45
6,20
3,53
3,73
10,46
5,73
2,30
10,58
4,34
2,5
8,15
2,93
2,15
10,94
3,50
5,78
1,63
5,42
9,61
1,94
2,4
8,80
7,51
7,97
3,18
2,72
4,27
9,82
2,4
7,96
1,24
2,71
4,23
4,25
1,58
6,85
7,48
4,88
1,25
8,84
5,68
10,62
2,76
1,90
6,2
5,11
2,19
6,83
7,65
9,35
9,12
9,66
5,83
9,99
6,27
9,71
7,61
6,93
10,59
3,15
2,50
5,27
1,66
6,60
1,70
8,13
8,90
1,69
6,29
7,52
2,38
4,78
10,21
7,73
7,54
5,78
3,8
6,73
1,81
6,42
5,66
9,7
10,75
3,43
3,8
1,40
9,37
10,19
4,67
1,38
10,74
2,29
7,44
1,79
1,67
6,42
5,57
5,85
4,4
4,24
4,3
10,36
5,30
4,42
6,48
8,20
9,86
1,12
9,95
9,48
9,66
5,95
4,61
7,46
7,84
2,83
2,37
8,37
9,70
9,98
3,10
7,53
3,49
10,35
4,47
1,90
3,81
8,51
2,23
1,94
2,59
7,1
1,68
7,100
4,66
2,23
9,40
3,43
10,41
8,76
5,91
2,61
1,13
4,9
3,77
2,43
5,66
7,76
2,82
2,60
2,70
7,57
8,14
9,20
9,97
6,62
4,19
6,85
8,43
9,100
8,88
6,59
10,1
8,21
10,41
5,65
7,68
8,31
5,8
10,40
8,60
5,46
2,25
3,57
