A,B
3,4530
3,4700
2,45
2,2049
4,4420
5,3060
1,298
4,3823
3,1238
5,2096
4,4909
5,4814
3,2295
3,3381
4,2045
1,38
2,2005
1,2543
2,385
3,1902
2,2477
4,3629
1,2318
4,1770
2,696
1,4847
5,3540
5,1999
3,2924
5,1148
4,5049
3,1406
3,2882
1,858
1,4341
5,5005
4,3968
3,495
5,3771
4,607
5,2083
4,900
1,2637
2,1168
3,2761
5,3921
5,4909
5,3521
3,4607
2,2417
2,4225
1,951
1,2647
1,2002
5,2801
5,5025
4,4533
3,2121
5,4844
1,2721
5,1333
2,1178
3,695
1,2144
2,4137
3,3934
2,4122
3,2858
1,4765
5,2065
2,1848
1,2678
1,1225
1,4650
5,3472
3,3541
5,1799
3,715
4,313
1,1678
5,1242
2,3156
2,1485
2,474
4,2701
2,3990
3,3560
1,3269
1,948
3,1484
2,2673
3,1243
2,1871
1,821
3,324
2,1473
3,1623
3,916
2,3940
4,1943
4,169
2,2120
2,3662
5,3534
5,2438
3,3794
2,3491
4,4804
3,608
5,4470
1,2414
4,4861
2,3878
2,796
2,4522
5,3397
1,3882
2,4387
3,3816
4,2883
3,3272
1,1641
4,3148
2,992
5,4897
1,2540
5,485
2,705
4,614
1,575
1,2848
3,447
4,2894
2,2144
3,3982
4,705
2,2722
4,674
1,1340
1,1786
2,1716
1,3902
4,4789
1,1832
5,2386
5,1833
1,2403
4,3967
4,2131
2,83
4,1726
1,48
1,3854
3,3248
5,4209
3,2325
5,1776
4,1260
2,1649
2,4376
2,2193
3,802
3,2618
4,3698
3,3857
5,2905
1,301
1,629
5,2970
5,4372
4,4575
1,3925
4,787
2,3593
3,869
2,4042
4,3567
2,1371
3,4699
1,3716
3,3820
4,1431
1,4642
1,1170
4,1184
3,834
1,1972
4,1545
1,1933
5,3292
4,2047
3,4164
5,3087
2,4275
5,2900
5,3864
5,909
5,2352
2,1742
3,3530
4,2527
4,1089
5,98
2,3614
1,4728
3,3666
4,4575
3,4362
4,3513
5,1983
1,1395
1,4552
3,53
3,3281
2,1519
2,1967
4,3959
1,4393
4,2001
4,2080
2,636
5,4320
1,997
2,2198
5,43
4,1763
5,860
3,804
4,1084
4,4304
5,1848
3,595
3,3756
4,1211
4,1681
2,3880
3,3913
5,1871
5,3669
3,4032
5,4417
5,4047
1,1369
5,1167
2,4385
3,4822
1,2621
1,819
1,447
3,3248
5,3218
1,2941
4,3769
5,4640
4,3155
5,4912
5,3390
2,1273
3,1651
2,1764
1,3856
3,4424
2,3519
3,4338
4,4855
5,2905
5,2308
5,1254
3,3524
5,1229
1,2884
2,2650
2,2828
5,932
1,39
2,4276
3,3668
2,2241
4,1564
1,1571
2,2143
4,1640
2,2128
5,3735
2,1485
5,3378
5,1566
3,2825
1,3010
2,1083
4,3250
2,3748
3,1466
2,1583
2,581
5,2057
5,1882
2,1547
4,1705
1,26
5,3568
2,2941
1,3553
5,1310
4,5069
2,2656
4,5345
3,3642
1,4830
4,3395
4,4623
4,4489
4,4316
3,1373
1,636
4,2249
1,1232
1,3951
1,1568
4,4664
3,3349
2,197
1,2228
4,1124
3,1308
2,300
5,3600
1,1570
5,3769
4,3047
1,925
1,42
2,1552
5,4270
1,980
2,942
2,3763
3,1995
5,85
3,1270
3,3790
5,1524
4,2637
5,2491
2,2842
2,2630
5,1403
4,1264
2,2220
1,4426
1,3899
4,853
1,4438
2,882
4,711
3,868
5,4085
3,4157
2,259
5,1280
2,1030
4,2764
3,1506
3,4452
1,925
5,4556
3,690
4,1747
4,4225
2,3388
5,2305
3,2848
3,1412
4,1221
3,3015
2,3921
4,5071
5,582
4,2401
2,1138
1,1332
4,4418
5,3789
1,1908
4,1065
3,2049
1,3695
1,3608
5,2106
5,1471
3,2033
1,4806
4,824
1,3192
5,4272
3,3753
2,2615
3,3581
4,3781
5,3413
2,2368
2,2936
1,3397
3,4866
1,702
2,3361
5,4686
5,2873
5,2516
4,5072
3,119
2,3969
5,2771
3,1935
2,188
1,909
3,241
1,4144
5,1227
2,3968
5,4445
3,3487
3,106
4,1005
1,1806
5,3195
2,895
4,1040
3,319
5,1376
2,1031
4,278
4,2403
2,3601
3,1259
4,1980
2,831
1,2561
1,288
5,334
1,1403
3,2154
3,1459
5,259
5,1418
4,2323
1,1817
2,3380
4,1893
3,1772
1,1266
5,3995
5,1460
1,416
3,2784
4,5191
1,3795
4,4465
4,4645
3,4445
5,174
4,4153
3,4797
1,2513
4,728
4,4742
1,4425
3,2016
4,3348
5,3920
5,3990
3,4588
2,1390
4,2949
3,655
2,3578
1,3899
3,2279
2,3561
3,3068
2,2704
1,3001
1,1519
1,830
3,2879
3,4357
1,2289
2,1010
1,1899
2,901
4,4509
4,930
5,3531
4,1441
4,650
4,2477
3,4764
2,1581
1,3332
2,638
