A,B
10,87
9,60
8,117
1,60
9,305
9,850
3,999
4,343
8,768
5,185
10,438
6,142
2,439
9,681
3,487
3,170
9,223
10,323
8,726
1,276
3,41
2,263
3,191
1,189
4,330
3,443
8,394
5,283
10,1168
5,109
3,1031
4,612
5,79
6,286
7,576
1,390
4,977
7,27
7,591
10,319
9,404
10,660
5,557
5,768
8,791
9,996
5,109
9,113
3,333
1,904
4,219
8,461
3,535
9,282
6,702
8,77
7,1083
2,173
7,298
2,872
5,814
4,656
1,295
8,905
7,180
2,504
10,348
9,424
10,343
1,506
1,215
2,111
2,442
8,953
7,1017
10,286
1,948
3,527
3,682
4,910
6,487
4,930
10,959
8,54
10,711
2,730
1,957
1,870
2,701
6,171
2,427
5,750
8,100
3,548
2,129
1,795
6,693
4,843
6,104
8,829
1,614
6,685
7,1059
5,876
6,203
2,121
10,157
3,582
9,26
2,245
4,993
10,985
9,830
4,610
5,716
8,469
1,1019
4,793
5,124
7,1005
7,1042
10,9
8,839
3,239
4,972
4,807
1,70
9,1128
4,101
1,245
7,771
7,1038
8,264
6,356
4,1069
4,309
1,458
8,878
6,498
3,1032
2,175
7,881
7,401
7,38
3,434
9,538
8,677
9,497
7,271
6,864
9,241
10,201
4,132
9,21
3,321
5,155
10,527
1,212
2,392
6,733
3,440
7,50
10,283
7,964
1,666
10,1093
9,22
6,579
10,95
2,722
2,574
4,300
9,812
2,11
5,760
5,639
10,269
6,33
5,627
2,309
7,540
8,230
5,478
1,726
6,336
5,220
3,454
7,226
4,201
3,1005
5,322
6,468
8,766
6,62
6,695
2,695
9,803
8,329
6,779
5,768
