A,B
4,1284
2,1323
5,1032
1,764
4,557
9,1675
10,1750
2,1207
7,2660
7,2222
1,2500
3,265
7,2018
5,448
9,1464
2,1780
2,2085
9,288
8,257
6,32
1,1497
9,243
5,401
3,1763
4,526
1,1435
2,1701
8,1858
2,653
2,2024
1,1965
8,2028
2,2237
8,1476
7,1700
1,1418
8,920
5,826
7,2633
5,1035
8,1285
8,788
1,981
10,794
7,219
6,677
5,2343
10,1142
10,1696
2,1199
6,691
8,647
3,990
8,1810
1,242
10,1620
1,740
3,844
9,1602
10,1104
6,482
10,1452
10,154
3,1415
8,485
6,2108
6,1947
2,2082
1,1467
3,1128
5,2131
2,2354
9,456
5,1934
6,346
10,33
8,2017
8,577
8,1319
4,136
1,118
2,2588
10,2131
7,1822
10,2098
1,470
10,857
3,1967
2,2079
4,1079
2,1651
6,887
7,2665
5,833
6,1062
1,1165
3,2249
9,846
6,630
7,879
1,2135
3,2282
6,778
4,1275
4,837
10,679
4,1780
1,1009
3,2492
3,1941
3,2129
7,1492
9,984
10,2129
5,1541
7,493
8,338
4,2296
7,425
4,1258
7,1560
3,695
1,1678
3,1041
9,981
6,1219
9,695
3,1584
6,86
5,1325
3,979
3,1062
8,1734
5,537
10,1615
6,679
9,2083
5,2179
1,531
6,1449
1,113
4,86
3,1835
7,2522
3,1026
10,1394
4,1203
8,1064
3,1123
3,1845
5,1056
9,678
8,303
1,1265
6,1957
5,1924
9,58
1,469
10,1291
2,2019
3,779
5,1003
1,1398
9,1312
5,1293
10,551
5,1801
6,1639
4,1741
3,646
1,1937
4,631
10,2321
5,2204
8,381
9,1250
1,2116
7,1264
8,2261
10,1871
2,1149
6,984
9,2164
3,1205
3,2095
4,37
2,2109
2,1532
7,204
2,2065
5,2004
9,1211
6,1579
3,790
5,757
6,244
5,2080
4,904
3,1832
3,1702
10,412
9,2368
9,2427
9,563
9,113
7,120
10,1821
2,1556
8,2284
7,1869
5,2226
1,208
5,1949
10,9
4,2065
3,1702
2,2609
2,2105
7,654
3,1545
4,228
9,2440
2,685
5,456
9,641
4,733
6,579
1,372
5,810
10,1982
8,319
4,837
5,256
4,243
6,1265
8,164
9,2089
7,283
5,451
6,1637
2,1732
6,1303
5,1048
6,1931
6,1181
10,1893
4,2298
2,1088
4,1958
3,2561
8,954
10,687
1,609
9,890
4,589
10,1056
6,2293
10,2111
4,427
2,799
7,1272
10,405
5,1072
4,476
2,521
3,1321
4,917
8,352
10,1524
4,1488
1,2253
10,2348
9,1781
2,1675
2,374
9,441
4,705
9,1266
5,950
4,1093
10,885
2,2148
10,577
4,1771
6,1001
3,2478
3,825
10,2169
5,1632
10,1956
4,719
7,586
7,2006
8,1724
7,1881
7,2006
7,1060
4,138
9,1940
7,2563
9,1341
10,1750
6,662
2,365
5,1554
4,1667
9,580
8,1195
10,1621
2,2395
9,2153
1,1045
3,1308
2,1604
8,95
10,279
3,1112
4,599
5,1281
1,1768
4,1713
9,1840
9,723
4,197
7,1610
2,729
4,278
3,64
7,1603
9,233
7,331
6,1418
8,232
7,2599
9,324
2,276
5,2329
7,568
4,969
10,1302
8,1850
9,518
3,2003
5,1336
6,1887
10,1107
7,2230
9,1159
8,1640
7,1370
8,1657
8,1221
1,161
8,225
6,1940
10,1257
4,1849
4,881
6,1330
6,717
1,1988
3,2647
10,108
5,1518
2,889
2,686
2,21
3,1357
6,1779
7,1699
2,1100
9,346
8,701
9,794
7,1764
6,2341
8,222
7,2338
5,1965
1,980
2,153
6,2203
6,28
6,1989
3,1198
1,211
9,2402
9,2020
9,1440
9,1380
2,2470
1,698
1,902
5,1687
6,1094
1,2475
8,2308
6,1642
8,701
4,1101
1,1887
3,1937
6,202
3,724
3,1510
6,840
1,2278
2,2307
8,1394
7,730
3,1552
6,1426
7,311
5,349
10,653
9,2451
6,1798
2,863
6,704
5,355
7,245
9,317
1,2271
5,1228
8,1914
1,267
8,527
8,1343
7,1777
6,2002
7,216
9,1241
10,1284
5,471
8,1220
9,704
5,1280
2,1181
8,544
8,1967
7,2592
7,2216
4,1666
4,554
10,2028
1,942
1,1464
2,1832
3,457
10,658
7,2361
10,79
3,923
5,2336
2,1754
2,1364
7,2477
5,1774
2,692
4,1677
5,1418
3,437
2,2186
7,2581
2,1967
1,1513
1,2257
9,1678
8,1998
4,1722
4,1306
5,449
6,1403
8,1084
10,2254
4,1165
8,2034
7,787
8,877
5,274
1,428
5,255
4,651
1,1080
8,136
1,440
6,586
1,107
7,1035
8,2068
10,988
9,527
6,804
1,799
7,1222
3,2095
4,2225
10,1385
1,710
3,2210
