dataset,num_rows,num_groups,violation_percentage,index,my_time,my_rows_removed,external_time,external_rows_removed
dataset_max_g5_r100_v10_2.csv,100,5,10,2,1.643660545349121,20,14.184077501296997,11.0
dataset_max_g5_r100_v10_1.csv,100,5,10,1,1.8732807636260986,60,14.8240327835083,9.0
dataset_max_g5_r100_v10_0.csv,100,5,10,0,1.805835485458374,60,16.59772801399231,22.0
dataset_max_g5_r200_v10_1.csv,200,5,10,1,1.8399896621704102,80,86.22001075744629,9.0
dataset_max_g5_r200_v10_2.csv,200,5,10,2,1.8746402263641357,42,93.48735284805298,5.0
dataset_max_g5_r200_v10_0.csv,200,5,10,0,1.8509900569915771,120,96.65234684944153,14.0
dataset_max_g5_r300_v10_1.csv,300,5,10,1,1.7290587425231934,0,244.78981518745422,3.0
dataset_max_g5_r300_v10_0.csv,300,5,10,0,1.8489186763763428,180,248.77816939353943,8.0
dataset_max_g5_r300_v10_2.csv,300,5,10,2,3.0391292572021484,60,234.05784702301025,16.0
dataset_max_g5_r400_v10_1.csv,400,5,10,1,2.15122127532959,161,498.2416145801544,11.0
dataset_max_g5_r400_v10_0.csv,400,5,10,0,2.7069504261016846,82,517.4198212623596,13.0
dataset_max_g5_r400_v10_2.csv,400,5,10,2,2.4885904788970947,81,467.42936730384827,17.0
dataset_max_g5_r500_v10_0.csv,500,5,10,0,2.038627862930298,200,,
dataset_max_g5_r500_v10_1.csv,500,5,10,1,2.181572675704956,200,,
dataset_max_g5_r500_v10_2.csv,500,5,10,2,2.326373338699341,300,544.4967770576477,16.0
