dataset,num_rows,num_groups,violation_percentage,index,my_time,my_rows_removed,external_time,external_rows_removed
dataset_max_g5_r300_v20_1.csv,300,5,20,1,2.455958843231201,61,259.2500202655792,10
dataset_max_g5_r300_v15_1.csv,300,5,15,1,2.5418834686279297,61,268.3963179588318,4
dataset_max_g5_r300_v20_0.csv,300,5,20,0,2.6826860904693604,61,276.4162554740906,11
dataset_max_g5_r300_v10_1.csv,300,5,10,1,2.5633652210235596,180,283.94794607162476,10
dataset_max_g5_r300_v10_2.csv,300,5,10,2,2.4303693771362305,1,286.93571186065674,4
dataset_max_g5_r300_v15_2.csv,300,5,15,2,2.5783133506774902,61,298.21696186065674,8
dataset_max_g5_r300_v10_0.csv,300,5,10,0,2.5179479122161865,120,312.798401594162,8
dataset_max_g5_r300_v15_0.csv,300,5,15,0,2.6698410511016846,180,320.65693736076355,13
dataset_max_g5_r300_v20_2.csv,300,5,20,2,2.5667576789855957,120,234.15618872642517,7
dataset_max_g5_r300_v25_0.csv,300,5,25,0,2.8672897815704346,180,240.09381294250488,17
dataset_max_g5_r300_v25_1.csv,300,5,25,1,2.54307222366333,64,244.01604390144348,7
dataset_max_g5_r300_v25_2.csv,300,5,25,2,2.374938726425171,60,253.61687445640564,7
dataset_max_g5_r300_v5_1.csv,300,5,5,1,2.6348929405212402,121,249.46751737594604,13
dataset_max_g5_r300_v5_0.csv,300,5,5,0,2.3902037143707275,120,263.89161920547485,11
dataset_max_g5_r300_v5_2.csv,300,5,5,2,2.5698599815368652,180,247.90469551086426,26
