dataset,num_rows,num_groups,violation_percentage,index,my_time,my_rows_removed,external_time,external_rows_removed
dataset_max_g10_r500_v5_2.csv,500,10,5,2,1.0206031799316406,203,147.9022181034088,32
dataset_max_g10_r500_v45_2.csv,500,10,45,2,1.0698859691619873,300,152.75047826766968,45
dataset_max_g10_r500_v25_2.csv,500,10,25,2,0.7619328498840332,202,154.82154154777527,32
dataset_max_g10_r500_v50_2.csv,500,10,50,2,0.883345365524292,55,154.87872195243835,29
dataset_max_g10_r500_v10_2.csv,500,10,10,2,1.0031416416168213,2,160.23896026611328,56
dataset_max_g10_r500_v35_1.csv,500,10,35,1,1.4021196365356445,104,164.5228660106659,43
dataset_max_g10_r500_v40_2.csv,500,10,40,2,1.2417736053466797,255,165.94933032989502,33
dataset_max_g10_r500_v50_0.csv,500,10,50,0,1.308495044708252,350,166.74611639976501,32
dataset_max_g10_r500_v20_2.csv,500,10,20,2,1.8526268005371094,261,166.647047996521,48
dataset_max_g10_r500_v30_2.csv,500,10,30,2,1.5538289546966553,350,167.69397473335266,40
dataset_max_g10_r500_v50_1.csv,500,10,50,1,1.2777507305145264,201,171.54516625404358,31
dataset_max_g10_r500_v5_1.csv,500,10,5,1,1.6587133407592773,300,171.55039930343628,17
dataset_max_g10_r500_v10_1.csv,500,10,10,1,1.6427221298217773,106,172.43109941482544,47
dataset_max_g10_r500_v15_0.csv,500,10,15,0,1.2508480548858643,204,174.80362963676453,31
dataset_max_g10_r500_v15_1.csv,500,10,15,1,1.7775273323059082,305,174.96907830238342,34
dataset_max_g10_r500_v35_0.csv,500,10,35,0,1.1750173568725586,257,177.3032784461975,53
dataset_max_g10_r500_v25_1.csv,500,10,25,1,1.2826809883117676,4,178.81593942642212,32
dataset_max_g10_r500_v30_0.csv,500,10,30,0,0.8762829303741455,152,181.5141294002533,51
dataset_max_g10_r500_v20_0.csv,500,10,20,0,1.528092384338379,251,205.08655738830566,12
dataset_max_g10_r500_v35_2.csv,500,10,35,2,1.258575201034546,351,210.58410382270813,12
dataset_max_g10_r500_v40_0.csv,500,10,40,0,0.9222004413604736,104,211.65148305892944,50
dataset_max_g10_r500_v25_0.csv,500,10,25,0,0.9104678630828857,152,212.5109167098999,46
dataset_max_g10_r500_v45_0.csv,500,10,45,0,0.9944546222686768,300,212.83352541923523,29
dataset_max_g10_r500_v30_1.csv,500,10,30,1,1.2985734939575195,153,214.78061270713806,53
dataset_max_g10_r500_v45_1.csv,500,10,45,1,0.8771770000457764,103,215.60904335975647,55
dataset_max_g10_r500_v5_0.csv,500,10,5,0,0.7842133045196533,150,217.12804007530212,17
dataset_max_g10_r500_v10_0.csv,500,10,10,0,0.8745338916778564,53,220.48373222351074,11
dataset_max_g10_r500_v40_1.csv,500,10,40,1,1.5889904499053955,104,219.83901238441467,29
dataset_max_g10_r500_v15_2.csv,500,10,15,2,1.0829823017120361,153,221.17292666435242,42
dataset_max_g10_r500_v20_1.csv,500,10,20,1,0.923353910446167,102,227.5912094116211,12
